Total Depth (m),Latitude,Longitude,Elevation,Reference Point,Datum,Start Date,End Date,Operator,Prospect/Field
113.8,-42.16,171.96,508.73,RL,MSL,"September 15, 2009","September 23, 2009",FRANCIS MINING COMPANY LTD,Greymouth
113.69,-45.92,167.96,345.02,RL,MSL,"August 28, 1964","August 28, 1964",SOLID ENERGY NEW ZEALAND LTD,OHAI
113.69,-45.91,167.96,369.82,RL,MSL,"September 22, 1950","September 22, 1950",SOLID ENERGY NEW ZEALAND LTD,OHAI
113.69,-38.1,175.07,137,RL,MSL,"November 16, 1970","June 10, 2010",SOLID ENERGY NEW ZEALAND LTD,Kawhia
113.6,-41.95,172.15,591.38,RL,MSL,"November 6, 2007","November 10, 2007",SOLID ENERGY NEW ZEALAND LTD,Flatcreek
113.6,-42.35,171.3,480.83,RL,MSL,"November 12, 1997","November 24, 1997",SOLID ENERGY NEW ZEALAND LTD,Buller
113.54,-41.63,171.89,311,RL,MSL,"July 1, 1952","July 1, 1952",SOLID ENERGY NEW ZEALAND LTD,STOCKTON
113.5,-41.74,171.78,522.88,RL,MSL,"May 11, 2012","May 17, 2012",BULLER COAL LTD,Buller
113.4,-41.81,171.69,746.42,RL,MSL,"May 1, 2012","May 4, 2012",RANGATIRA DEVELOPMENTS LTD,Buller
113.4,-42.36,171.4,103.63,RL,MSL,"May 1, 1932","March 15, 1915",SOLID ENERGY NEW ZEALAND LTD,Buller
113.4,-37.47,175.23,7,RL,MSL,"March 9, 1981","March 19, 1981",SOLID ENERGY NEW ZEALAND LTD,WAIK
113.39,-42.35,171.28,233.17,RL,MSL,"May 1, 1932","March 15, 1915",SOLID ENERGY NEW ZEALAND LTD,Buller
113.2,-41.7,171.85,"1,000.78",RL,MSL,"July 10, 2009","December 20, 2012",SOLID ENERGY NEW ZEALAND LTD,STOCKTON
113.2,-41.7,171.85,"1,000.78",RL,MSL,"July 10, 2009","July 13, 2009",SOLID ENERGY NEW ZEALAND LTD,Buller
113.1,-45.92,167.96,355.24,RL,MSL,"April 26, 2005","April 5, 2004",SOLID ENERGY NEW ZEALAND LTD,OHAI
113.08,-45.92,167.96,359.72,RL,MSL,"October 20, 1950","October 20, 1950",SOLID ENERGY NEW ZEALAND LTD,OHAI
113.08,-45.91,167.96,342.9,RL,MSL,"June 11, 1963","June 11, 1963",SOLID ENERGY NEW ZEALAND LTD,OHAI
113,-41.73,171.83,694.3,KB,MSL,"May 15, 1986",,NZ COAL RESOURCES SURVEY,Buller
113,-46.46,168.4,15.3,KB,MSL,"September 13, 1978",,MINES DEPARTMENT,Waimatua
113,-41.6,171.92,70.1,KB,MSL,"January 1, 1911",,UNKNOWN,Buller
113,-42.15,171.96,807.84,KB,MSL,"July 8, 1986",,MINISTRY OF ENERGY,Garvey Creek
113,-46.42,168.44,20.1,KB,MSL,"September 21, 1978",,MINES DEPARTMENT,Waimatua
112.99,-42.04,171.78,215.47,RL,MSL,"January 31, 1987","February 26, 1987",MINISTRY OF ENERGY,Inangahua
112.8,-42.15,171.96,807.43,RL,MSL,"June 23, 1986","July 8, 1986",SOLID ENERGY NEW ZEALAND LTD,Garvey
112.78,-41.6,171.92,70.1,RL,MSL,"August 16, 1910","August 16, 1910",SOLID ENERGY NEW ZEALAND LTD,NORTHBULL
112.78,-38.11,175.09,158.37,RL,MSL,"January 1, 1984","June 10, 2010",SOLID ENERGY NEW ZEALAND LTD,Kawhia
112.78,-38.11,175.09,154.7,RL,MSL,"September 30, 1984","June 10, 2010",SOLID ENERGY NEW ZEALAND LTD,Kawhia
112.78,-45.91,167.96,352.81,RL,MSL,"October 18, 1963","October 18, 1963",SOLID ENERGY NEW ZEALAND LTD,OHAI
112.78,-45.91,167.96,352.81,RL,MSL,"November 3, 1950","November 3, 1950",SOLID ENERGY NEW ZEALAND LTD,OHAI
112.7,-41.76,171.82,677.14,RL,MSL,"April 17, 2012","April 17, 2012",BULLER COAL LTD,Buller
112.6,-42.34,171.35,858.18,RL,MSL,"July 25, 2010","October 8, 2010",SOLID ENERGY NEW ZEALAND LTD,Buller
112.47,-45.91,167.96,351.04,RL,MSL,"January 1, 1952","January 1, 1952",SOLID ENERGY NEW ZEALAND LTD,OHAI
112.35,-42.15,171.96,772.1,RL,MSL,"January 26, 2003","February 10, 2003",SOLID ENERGY NEW ZEALAND LTD,Garvey
112.3,-38.06,175.01,163.5,RL,MSL,"February 3, 1985","June 10, 2010",SOLID ENERGY NEW ZEALAND LTD,Kawhia
112.25,-42.37,171.36,654.5,RL,MSL,"October 2, 2012","October 6, 2012",ROA MINING AND BLACKWATER COAL CO LTD,Greymouth
112.2,-41.71,171.89,734.05,RL,MSL,"August 22, 2012","September 14, 2012",SOLID ENERGY NEW ZEALAND LTD,Buller
112.2,-41.71,171.89,734.05,RL,MSL,"August 22, 2012","September 14, 2012",SOLID ENERGY NEW ZEALAND LTD,UPPERWAI
112.11,-37.43,175.21,7,RL,MSL,"April 10, 1980","April 23, 1980",SOLID ENERGY NEW ZEALAND LTD,WAIK
112,-38.72,174.95,364.4,RL,MSL,"July 1, 1984","July 1, 1984",SOLID ENERGY NEW ZEALAND LTD,TARANAKI
112,-37.49,175.19,6.4,KB,MSL,"September 28, 1983",,MINES DEPARTMENT MINISTRY OF ENERGY,Waikare
112,-45.93,167.94,320.8,RL,MSL,"June 28, 2004","April 5, 2004",SOLID ENERGY NEW ZEALAND LTD,OHAI
112,-45.93,167.94,197.6,KB,MSL,"September 23, 1983",,MINES DEPARTMENT,Ohai
112,-42.15,171.96,799.03,RL,MSL,"January 9, 2003","January 14, 2003",SOLID ENERGY NEW ZEALAND LTD,Garvey
112,-46.17,168.87,68.6,KB,MSL,"January 31, 1978",,MINES DEPARTMENT,Mataura
112,-41.58,171.95,117.78,RL,MSL,"May 31, 2012","June 7, 2012",BULLER COAL LTD,Buller
112,-38.72,174.95,364.4,KB,MSL,"January 1, 1984",,FLETCHER CHALLENGE,Waitewhena
111.95,-46.22,168.81,60.33,RL,MSL,"April 20, 2007","April 23, 2007",SOLID ENERGY NEW ZEALAND LTD,Mataura
111.9,-42.36,171.4,99.67,RL,MSL,"May 1, 1932","March 15, 1915",SOLID ENERGY NEW ZEALAND LTD,Buller
111.86,-42.35,171.33,625.45,RL,MSL,"February 1, 1963","April 5, 1963",SOLID ENERGY NEW ZEALAND LTD,Buller
111.7,-37.45,175.18,6,RL,MSL,"April 6, 1978","April 13, 1978",SOLID ENERGY NEW ZEALAND LTD,WaikareW
111.5,-41.67,171.88,735.45,RL,MSL,"April 23, 2009","April 26, 2009",SOLID ENERGY NEW ZEALAND LTD,STOCKTON
111.5,-41.67,171.88,735.45,RL,MSL,"April 23, 2009","April 26, 2009",SOLID ENERGY NEW ZEALAND LTD,Buller
111.4,-42.1,171.89,234.24,RL,MSL,"April 24, 2012","May 2, 2012",SOLID ENERGY NEW ZEALAND LTD,Reefton
111.4,-42.1,171.89,234.71,RL,MSL,"April 25, 2012","May 2, 2012",SOLID ENERGY NEW ZEALAND LTD,Reefton
111.4,-42.1,171.89,234.71,RL,MSL,"April 24, 2012","May 2, 2012",SOLID ENERGY NEW ZEALAND LTD,Reefton
111.35,-42.17,171.96,612.7,RL,MSL,"December 1, 1995","December 6, 1995",FRANCIS MINING COMPANY LTD,Garvey Creek
111.3,-41.81,171.69,647.18,RL,MSL,"June 5, 2012","June 9, 2012",RANGATIRA DEVELOPMENTS LTD,Buller
111.25,-45.93,167.93,286.8,RL,MSL,"January 1, 1946","January 1, 1946",SOLID ENERGY NEW ZEALAND LTD,OHAI
111.2,-42.17,171.96,723.29,RL,MSL,"August 25, 2009","August 28, 2009",FRANCIS MINING COMPANY LTD,Greymouth
111,-45.93,167.93,156.36,RL,MSL,"January 1, 1900",,COAL SURVEY COMMITTEE,Ohai
111,-46.5,168.62,25.6,KB,MSL,"June 14, 1985",,LIQUID FUELS TRUST BOARD,Ashers-Waituna
110.9,-42.09,171.9,231.82,RL,MSL,"November 6, 2014","November 6, 2014",SOLID ENERGY NEW ZEALAND LTD,WAITAHU
110.9,-42.09,171.9,231.82,RL,MSL,"November 3, 2014","November 6, 2014",SOLID ENERGY NEW ZEALAND LTD,Reefton
110.9,-42.21,171.46,654.3,RL,MSL,"February 20, 2000","February 25, 2000",PIKE RIVER COAL CO LTD,Pike River
110.9,-42.21,171.46,654.3,RL,MSL,"February 20, 2000","February 25, 2000",SOLID ENERGY NEW ZEALAND LTD,Pike River
110.9,-42.09,171.9,231.82,RL,MSL,"November 3, 2014","November 6, 2014",SOLID ENERGY NEW ZEALAND LTD,WAITAHU
110.8,-37.44,175.19,7,RL,MSL,"August 7, 1980","August 15, 1980",SOLID ENERGY NEW ZEALAND LTD,WAIK
110.8,-37.43,175.18,7,RL,MSL,"August 26, 1980","September 5, 1980",SOLID ENERGY NEW ZEALAND LTD,WAIK
110.7,-42.17,171.96,548.83,RL,MSL,"July 10, 2009","July 18, 2009",FRANCIS MINING COMPANY LTD,Garvey Creek
110.4,-41.71,171.89,725.29,RL,MSL,"February 14, 2009","February 20, 2009",SOLID ENERGY NEW ZEALAND LTD,UPPERWAI
110.4,-37.26,175.19,48.19,RL,MSL,"October 22, 2011","November 1, 2012",L & M COAL LIMITED,Maramarua
110.1,-42.21,171.46,618.09,RL,MSL,"November 16, 1999","November 24, 1999",SOLID ENERGY NEW ZEALAND LTD,Pike River
110.1,-37.45,175.2,7,RL,MSL,"January 23, 1980","February 1, 1980",SOLID ENERGY NEW ZEALAND LTD,WAIK
110.03,-42.35,171.28,138.68,RL,MSL,"February 1, 1963","October 29, 1965",SOLID ENERGY NEW ZEALAND LTD,Buller
110,-41.7,171.89,718.86,KB,MSL,"December 17, 1986",,COAL CORPORATION OF NEW ZEALAND,Buller
110,-46.46,168.62,30.6,KB,MSL,"July 8, 1985",,LIQUID FUELS TRUST BOARD,Ashers-Waituna
110,-35.05,173.19,31.65,KB,MSL,"April 6, 1988",,UNKNOWN,Awanui
110,-46.5,168.62,25.6,KB,MSL,"June 29, 1985",,LIQUID FUELS TRUST BOARD,Ashers-Waituna
110,-41.73,171.83,737,RL,MSL,"May 1, 1986","May 1, 1986",SOLID ENERGY NEW ZEALAND LTD,UPPERWAI
110,-42.09,171.9,274.86,RL,MSL,"July 22, 2011","July 28, 2011",SOLID ENERGY NEW ZEALAND LTD,Reefton
110,-42.09,171.9,274.86,RL,MSL,"July 22, 2011","July 28, 2011",SOLID ENERGY NEW ZEALAND LTD,Reefton
110,-46.08,168.46,999.25,RL,MSL,"November 8, 2005","November 8, 2005",ORETI RESOURCES LTD,Waimumu
110,-37.5,175.19,29.65,KB,MSL,"July 8, 1985",,UNKNOWN,Waikare
110,-46.22,168.8,67.1,KB,MSL,"March 6, 1978",,MINES DEPARTMENT,Mataura
110,-42.21,171.46,617.65,RL,MSL,"November 16, 1999","November 24, 1999",PIKE RIVER COAL CO LTD,Pike River
110,-42.34,171.34,801.56,KB,MSL,"March 25, 1994",,COAL CORPORATION OF NEW ZEALAND,Greymouth
110,-46.35,168.65,61.8,KB,MSL,"August 14, 1978",,MINES DEPARTMENT,Morton-Mains
109.99,-38.14,175.19,32.8,RL,MSL,"June 26, 1979","June 10, 2010",SOLID ENERGY NEW ZEALAND LTD,Kawhia
109.97,-41.7,171.89,718.66,RL,MSL,"November 21, 1986","December 17, 1986",SOLID ENERGY NEW ZEALAND LTD,UPPERWAI
109.95,-42.15,171.96,802.86,RL,MSL,"January 21, 2003","January 25, 2003",SOLID ENERGY NEW ZEALAND LTD,Garvey
109.9,-41.67,171.89,720.14,RL,MSL,"June 3, 2009","June 9, 2009",SOLID ENERGY NEW ZEALAND LTD,Buller
109.9,-41.67,171.89,720.14,RL,MSL,"June 3, 2009","June 9, 2009",SOLID ENERGY NEW ZEALAND LTD,STOCKTON
109.9,-41.7,171.86,931.01,RL,MSL,"November 2, 2011","November 15, 2011",SOLID ENERGY NEW ZEALAND LTD,STOCKTON
109.9,-41.7,171.86,931.01,RL,MSL,"November 2, 2011","November 15, 2011",SOLID ENERGY NEW ZEALAND LTD,Buller
109.89,-37.26,175.19,43.04,RL,MSL,"October 14, 2011","October 20, 2011",L & M COAL LIMITED,Maramarua
109.85,-41.71,171.89,770.35,RL,MSL,"April 20, 1997","May 4, 1997",SOLID ENERGY NEW ZEALAND LTD,UPPERWAI
109.8,-38.77,174.93,303.1,RL,MSL,"July 18, 1985","July 22, 1985",SOLID ENERGY NEW ZEALAND LTD,TARANAKI
109.8,-37.42,175.18,7,RL,MSL,"September 8, 1980","September 19, 2008",SOLID ENERGY NEW ZEALAND LTD,WAIK
109.73,-42.37,171.31,220.01,RL,MSL,"April 18, 1963","April 18, 1963",SOLID ENERGY NEW ZEALAND LTD,Buller
109.73,-45.92,167.96,350.01,RL,MSL,"August 4, 1950","August 4, 1950",SOLID ENERGY NEW ZEALAND LTD,OHAI
109.7,-38.69,174.96,435,RL,MSL,"June 21, 1984","June 23, 1984",SOLID ENERGY NEW ZEALAND LTD,TARANAKI
109.6,-41.77,171.81,602.29,RL,MSL,"January 26, 2012","January 26, 2012",BULLER COAL LTD,Buller
109.55,-42.34,171.34,801.56,RL,MSL,"March 25, 1994","March 30, 1994",SOLID ENERGY NEW ZEALAND LTD,Buller
109.5,-38.62,174.79,309,RL,MSL,"December 14, 1982","December 18, 1982",SOLID ENERGY NEW ZEALAND LTD,TARANAKI
109.4,-41.7,171.9,755.99,RL,MSL,"November 4, 1986","November 18, 1986",SOLID ENERGY NEW ZEALAND LTD,UPPERWAI
109.1,-41.73,171.87,578.59,RL,MSL,"October 1, 1986","October 10, 1986",SOLID ENERGY NEW ZEALAND LTD,UPPERWAI
109,-42.34,171.35,797.89,RL,MSL,"July 9, 2012","July 24, 2012",SOLID ENERGY NEW ZEALAND LTD,Buller
109,-42.34,171.34,732.21,RL,MSL,"May 2, 2012","June 12, 2012",SOLID ENERGY NEW ZEALAND LTD,Buller
109,-41.7,171.85,"1,003.49",RL,MSL,"May 20, 2009","May 29, 2009",SOLID ENERGY NEW ZEALAND LTD,Buller
109,-41.71,171.89,729.87,RL,MSL,"November 27, 2018","December 12, 2018",BT MINING LTD,UPPERWAI
109,-46.32,168.62,58.8,KB,MSL,"September 20, 1978",,MINES DEPARTMENT,Morton-Mains
109,-41.7,171.85,"1,003.49",RL,MSL,"May 20, 2009","May 29, 2009",SOLID ENERGY NEW ZEALAND LTD,STOCKTON
109,-41.75,171.77,639.8,KB,MSL,"March 12, 1977",,UNKNOWN,Buller
109,-38.69,174.96,435,KB,MSL,"June 23, 1984",,FLETCHER CHALLENGE,Waitewhena
109,-38.14,175.19,32.8,KB,MSL,"June 26, 1979",,UNKNOWN,Tihiroa
109,-41.73,171.87,578.59,KB,MSL,"October 10, 1986",,COAL CORPORATION OF NEW ZEALAND,Buller
109,-42.34,171.34,732.21,KB,MSL,"May 2, 2012","June 12, 2012",SOLID ENERGY NEW ZEALAND LTD,Greymouth
109,-45.93,167.9,137.16,RL,MSL,"January 1, 1900",,COAL SURVEY COMMITTEE,Ohai
109,-41.7,171.89,713.84,RL,MSL,"October 31, 2018","November 8, 2018",BT MINING LTD,UPPERWAI
109,-42.34,171.35,797.89,KB,MSL,"July 9, 2012","July 24, 2012",SOLID ENERGY NEW ZEALAND LTD,Greymouth
108.97,-45.93,167.94,302.94,RL,MSL,"February 10, 1956","February 10, 1956",SOLID ENERGY NEW ZEALAND LTD,OHAI
108.97,-45.91,167.96,377.1,RL,MSL,"January 1, 1952","January 1, 1952",SOLID ENERGY NEW ZEALAND LTD,OHAI
108.8,-41.71,171.89,772.61,RL,MSL,"May 15, 1997","May 24, 1997",SOLID ENERGY NEW ZEALAND LTD,UPPERWAI
108.8,-41.82,171.69,727.54,RL,MSL,"May 12, 2012","May 17, 2012",RANGATIRA DEVELOPMENTS LTD,Buller
108.7,-42.11,171.88,353.13,RL,MSL,"April 24, 2004","April 28, 2004",SOLID ENERGY NEW ZEALAND LTD,Reefton
108.65,-45.93,167.94,329.58,RL,MSL,"March 14, 2004","April 5, 2004",SOLID ENERGY NEW ZEALAND LTD,OHAI
108.6,-45.93,167.94,319,RL,MSL,"February 18, 2005","April 5, 2004",SOLID ENERGY NEW ZEALAND LTD,OHAI
108.6,-41.71,171.89,744.11,RL,MSL,"March 25, 2009","April 3, 2009",SOLID ENERGY NEW ZEALAND LTD,UPPERWAI
108.51,-42.38,171.3,182.88,RL,MSL,"May 1, 1932","March 15, 1915",SOLID ENERGY NEW ZEALAND LTD,Buller
108.45,-45.92,167.95,333.96,RL,MSL,"May 6, 2004","April 5, 2004",SOLID ENERGY NEW ZEALAND LTD,OHAI
108.44,-45.93,167.95,332.18,RL,MSL,"September 27, 2012","September 27, 2012",SOLID ENERGY NEW ZEALAND LTD,OHAI
108.2,-41.77,171.81,595.67,RL,MSL,"March 6, 2012","March 6, 2012",BULLER COAL LTD,Buller
108.13,-44.78,169.91,675,RL,MSL,"November 21, 2002","November 26, 2002",L & M CENTRAL OTAGO LIGNITE LIMITED,St Bathans
108.1,-37.26,175.19,34,RL,MSL,"February 24, 2014","March 3, 2015",SOLID ENERGY NEW ZEALAND LTD,Maramarua
108,-35.03,173.17,0,KB,MSL,"January 1, 1900",,UNKNOWN,Awanui
108,-42.21,171.45,638,RL,MSL,"January 15, 2008","January 21, 2008",SOLID ENERGY NEW ZEALAND LTD,Pike River
108,-46.15,168.75,101.1,KB,MSL,"April 30, 1981",,MINES DEPARTMENT,Waimumu
108,-46.15,168.76,93,KB,MSL,"April 11, 1978",,MINES DEPARTMENT,Waimumu
108,-37.6,175.06,68.61,RL,MSL,"October 28, 2016","October 28, 2016",BT MINING LTD,ROTOWARO
108,-42.21,171.46,632.82,RL,MSL,"March 4, 2014","March 14, 2014",SOLID ENERGY NEW ZEALAND LTD,Pike River
108,-45.91,167.96,345.73,RL,MSL,"January 1, 1952","January 1, 1952",SOLID ENERGY NEW ZEALAND LTD,OHAI
107.9,-37.49,175.21,22.8,RL,MSL,"December 6, 1975","December 10, 1975",SOLID ENERGY NEW ZEALAND LTD,Ohinewai
107.4,-38.13,175.2,36,RL,MSL,"September 26, 1983","June 10, 2010",SOLID ENERGY NEW ZEALAND LTD,Kawhia
107.32,-45.92,167.96,387.8,RL,MSL,"May 9, 1952","May 9, 1952",SOLID ENERGY NEW ZEALAND LTD,OHAI
107.3,-42.09,171.9,284.98,RL,MSL,"June 22, 2011","June 29, 2011",SOLID ENERGY NEW ZEALAND LTD,Reefton
107.3,-42.09,171.9,284.98,RL,MSL,"June 22, 2011","June 29, 2011",SOLID ENERGY NEW ZEALAND LTD,Reefton
107.1,-41.66,171.89,594.67,RL,MSL,"March 10, 2008","March 14, 2008",SOLID ENERGY NEW ZEALAND LTD,STOCKTON
107.05,-41.72,171.87,585.22,RL,MSL,"June 10, 1985","June 19, 1985",SOLID ENERGY NEW ZEALAND LTD,UPPERWAI
107,-46.16,168.86,70.4,KB,MSL,"January 30, 1978",,MINES DEPARTMENT,Mataura
107,-45.92,167.95,181.36,RL,MSL,"January 1, 1900",,COAL SURVEY COMMITTEE,Ohai
107,-41.59,171.99,236.91,RL,MSL,"October 29, 2012","November 5, 2012",BULLER COAL LTD,Buller
107,-46.29,169.91,31.5,KB,MSL,"February 21, 1985",,MINES DEPARTMENT,Kaitangata
107,-45.92,167.96,254.2,RL,MSL,"January 1, 1900",,COAL SURVEY COMMITTEE,Ohai
107,-46.21,169.84,5.5,KB,MSL,"April 11, 1985",,LIQUID FUELS TRUST BOARD,Kaitangata
107,-41.73,171.87,579.44,RL,MSL,"April 18, 1983","April 28, 1983",SOLID ENERGY NEW ZEALAND LTD,UPPERWAI
107,-41.72,171.87,585.22,KB,MSL,"June 21, 1985",,MINES DEPARTMENT,Buller
107,-42.35,171.33,668.01,RL,MSL,"January 17, 2009","January 22, 2009",SOLID ENERGY NEW ZEALAND LTD,Buller
106.9,-41.77,171.74,888.54,RL,MSL,"July 10, 2012","July 18, 2012",BULLER COAL LTD,Buller
106.86,-45.92,167.95,312.12,RL,MSL,"September 22, 1950","September 22, 1950",SOLID ENERGY NEW ZEALAND LTD,OHAI
106.81,-37.41,175.19,7.6,RL,MSL,"February 7, 1975","February 18, 1975",SOLID ENERGY NEW ZEALAND LTD,
106.8,-41.77,171.81,621.94,RL,MSL,"February 3, 2012","February 3, 2012",BULLER COAL LTD,Buller
106.7,-42.34,171.31,545.3,RL,MSL,"May 1, 2012","May 18, 2012",SOLID ENERGY NEW ZEALAND LTD,Greymouth
106.7,-42.34,171.31,545.3,RL,MSL,"May 1, 2012","May 18, 2012",SOLID ENERGY NEW ZEALAND LTD,Buller
106.6,-41.77,171.81,602.17,RL,MSL,"February 27, 2012","February 27, 2012",BULLER COAL LTD,Buller
106.46,-37.2,175.13,20.79,RL,MSL,"September 27, 1983","October 4, 1983",NZ COAL RESOURCES SURVEY,Maramarua
106.42,-41.71,171.89,740.5,RL,MSL,"December 19, 1986","January 14, 1987",SOLID ENERGY NEW ZEALAND LTD,UPPERWAI
106.4,-41.77,171.81,621.41,RL,MSL,"February 14, 2012","February 14, 2012",BULLER COAL LTD,Buller
106.3,-42.34,171.35,891.36,RL,MSL,"July 23, 2012","July 31, 2012",SOLID ENERGY NEW ZEALAND LTD,Buller
106.25,-42.34,171.34,763.7,RL,MSL,"April 16, 2008","April 24, 2008",SOLID ENERGY NEW ZEALAND LTD,Greymouth
106.25,-42.34,171.34,763.7,RL,MSL,"April 16, 2008","July 24, 2008",SOLID ENERGY NEW ZEALAND LTD,Buller
106.2,-41.77,171.81,639.09,RL,MSL,"October 12, 2011","October 12, 2011",BULLER COAL LTD,Buller
106.2,-41.76,171.81,638.96,RL,MSL,"October 6, 2011","October 6, 2011",BULLER COAL LTD,Buller
106.1,-41.81,171.69,725.35,RL,MSL,"April 21, 2012","April 25, 2012",RANGATIRA DEVELOPMENTS LTD,Buller
106,-45.53,169.32,108.9,KB,MSL,"April 27, 1979",,MINES DEPARTMENT,Roxburgh
106,-45.93,167.95,333.47,RL,MSL,"June 17, 2004","April 5, 2004",SOLID ENERGY NEW ZEALAND LTD,OHAI
106,-41.75,171.84,512.61,RL,MSL,"January 1, 1927","January 1, 1927",SOLID ENERGY NEW ZEALAND LTD,UPPERWAI
106,-46.27,169.89,104.6,KB,MSL,"February 25, 1985",,MINES DEPARTMENT,Kaitangata
106,-45.91,167.96,240.18,RL,MSL,"January 1, 1900",,COAL SURVEY COMMITTEE,Ohai
106,-41.71,171.89,740.5,KB,MSL,"January 14, 1986",,COAL CORPORATION OF NEW ZEALAND,Buller
106,-38.08,175.03,328.4,KB,MSL,"March 4, 1986",,MINES DEPARTMENT MINISTRY OF ENERGY,Kawhia
106,-41.75,171.84,512.61,KB,MSL,"December 17, 1984",,STATE COAL MINES,Buller
106,-41.81,171.7,768.74,RL,MSL,"June 10, 2012","June 12, 2012",RANGATIRA DEVELOPMENTS LTD,Buller
105.8,-42.34,171.34,861.64,RL,MSL,"May 22, 2011","July 30, 2011",SOLID ENERGY NEW ZEALAND LTD,Buller
105.8,-42.34,171.34,861.64,KB,MSL,"May 22, 2011","July 30, 2011",SOLID ENERGY NEW ZEALAND LTD,Greymouth
105.77,-45.91,167.96,373.78,RL,MSL,"June 13, 1952","June 13, 1952",SOLID ENERGY NEW ZEALAND LTD,OHAI
105.71,-45.93,167.93,290.78,RL,MSL,"June 5, 2004","April 5, 2004",SOLID ENERGY NEW ZEALAND LTD,OHAI
105.7,-42.17,171.95,600,RL,MSL,"November 27, 1995","December 1, 1995",FRANCIS MINING COMPANY LTD,Garvey Creek
105.46,-45.92,167.95,321.3,RL,MSL,"September 22, 1950","September 22, 1950",SOLID ENERGY NEW ZEALAND LTD,OHAI
105.4,-46.24,168.79,105.4,RL,MSL,"January 1, 1900","November 6, 2009",L & M COAL LIMITED,Mataura
105.1,-37.26,175.19,48.86,RL,MSL,"February 16, 2015","February 20, 2015",SOLID ENERGY NEW ZEALAND LTD,Maramarua
105,-41.73,171.86,563.1,KB,MSL,"January 1, 1900",,UNKNOWN,Buller
105,-46.48,168.62,31,KB,MSL,"July 3, 1985",,LIQUID FUELS TRUST BOARD,Ashers-Waituna
105,-41.69,171.96,342.96,RL,MSL,"August 7, 1967","August 7, 1967",SOLID ENERGY NEW ZEALAND LTD,BLACKBURN
105,-46.5,168.62,25.3,KB,MSL,"August 4, 1985",,LIQUID FUELS TRUST BOARD,Ashers-Waituna
105,-37.6,175.07,42.73,RL,MSL,"October 26, 2016","October 27, 2016",BT MINING LTD,ROTOWARO
105,-45.92,167.95,191.11,RL,MSL,"January 1, 1900",,COAL SURVEY COMMITTEE,Ohai
105,-44.92,169.96,675.4,KB,MSL,"February 9, 1979","February 15, 1979",MINES DEPARTMENT,St Bathans
105,-41.69,171.96,342.9,KB,MSL,"August 7, 1967",,UNKNOWN,Buller
105,-46.45,168.43,19.8,KB,MSL,"March 24, 1981",,MINES DEPARTMENT,Waimatua
105,-46.22,168.8,61.9,KB,MSL,"March 21, 1978",,MINES DEPARTMENT,Mataura
105,-46.32,168.69,72.6,KB,MSL,"August 15, 1978",,MINES DEPARTMENT,Morton-Mains
105,-45.93,167.93,169.16,RL,MSL,"January 1, 1900",,COAL SURVEY COMMITTEE,Ohai
104.91,-45.93,167.95,336.36,RL,MSL,"September 27, 2012","September 27, 2012",SOLID ENERGY NEW ZEALAND LTD,OHAI
104.8,-44.92,169.96,675.4,RL,MSL,"February 9, 1979","February 15, 1979",SOLID ENERGY NEW ZEALAND LTD,Home Hills
104.6,-42.21,171.45,612.23,RL,MSL,"April 21, 2005","April 27, 2005",SOLID ENERGY NEW ZEALAND LTD,Pike River
104.55,-45.93,167.94,292.52,RL,MSL,"January 1, 1947","January 1, 1947",SOLID ENERGY NEW ZEALAND LTD,OHAI
104.55,-45.94,167.97,320.8,RL,MSL,"January 1, 1946","January 1, 1946",SOLID ENERGY NEW ZEALAND LTD,OHAI
104.55,-37.49,175.21,23.94,RL,MSL,"May 4, 1976","May 6, 1976",SOLID ENERGY NEW ZEALAND LTD,Ohinewai
104.51,-41.75,171.85,539.6,RL,MSL,"July 21, 1982","December 20, 2012",SOLID ENERGY NEW ZEALAND LTD,UPPERWAI
104.5,-46.22,168.8,61.9,RL,MSL,"March 21, 1978","March 22, 1978",SOLID ENERGY NEW ZEALAND LTD,Mataura
104.2,-42.21,171.46,0,RL,MSL,"June 1, 2006","June 6, 2006",PIKE RIVER COAL CO LTD,Pike River
104.2,-42.21,171.45,612.23,RL,MSL,"May 16, 2005","May 19, 2005",SOLID ENERGY NEW ZEALAND LTD,Pike River
104.1,-42.08,171.91,231.88,RL,MSL,"June 23, 2011","June 29, 2011",SOLID ENERGY NEW ZEALAND LTD,Reefton
104.1,-42.08,171.91,231.88,RL,MSL,"June 23, 2011","June 29, 2011",SOLID ENERGY NEW ZEALAND LTD,Reefton
104,-41.7,171.9,755.99,KB,MSL,"November 18, 1986",,COAL CORPORATION OF NEW ZEALAND,Buller
104,-38.82,174.91,280.9,KB,MSL,"January 1, 1986",,MINES DEPARTMENT,Tangarakau-Ohura
104,-46.5,168.63,25.5,KB,MSL,"March 5, 1981",,MINES DEPARTMENT,Ashers-Waituna
104,-46.47,168.66,28.2,KB,MSL,"July 25, 1978",,LIQUID FUELS TRUST BOARD,Ashers-Waituna
104,-41.81,171.69,631.63,RL,MSL,"June 27, 1985","July 1, 1985",NZ CEMENT HOLDINGS LTD,Buller
104,-44.78,169.89,739.1,KB,MSL,"May 3, 1985",,LIQUID FUELS TRUST BOARD,St Bathans
104,-46.3,168.83,32.1,RL,MSL,"October 29, 1978","October 31, 1978",SOLID ENERGY NEW ZEALAND LTD,Mataura
104,-41.68,171.96,343.2,KB,MSL,"January 1, 1900",,UNKNOWN,Buller
