Total Depth (m),Title,Purpose,Latitude,Longitude,EPSG,Elevation,Reference Point,Datum,UWI,Result,Start Date,End Date,Operator
"3,421.00",Kora-1,exploration,-38.38,173.86,"4,326",26.8,KB,MSL,100000113209,oil,"November 10, 1987","February 5, 1988",ARCO PETROLEUM NZ INC
"3,401.20",Maui-3,appraisal,-39.53,173.45,"4,326",34.1,DF,MSL,100000022053,oil/gas,"December 25, 1969","February 24, 1970",SHELL BP AND TODD OIL SERVICES LTD
"3,389.40",Pakaha-1,exploration,-48.25,169.55,"4,326",31.09,DF,MSL,100000022145,unknown,"February 25, 1977","April 28, 1977",HUNT INTERNATIONAL PETROLEUM CO NZ
"3,386.00",Kauri-E12,production,-39.69,174.39,"4,326",44.5,KB,MSL,100000568204,dry,"March 23, 2006","June 18, 2006",SWIFT ENERGY NEW ZEALAND LTD
"3,385.00",Kupe South-6,production,-39.85,174.12,"4,326",44,RT,MSL,100000621435,gas/condensate,"December 19, 2007","March 9, 2008",ORIGIN ENERGY RESOURCES LTD
"3,380.80",Maui-1,exploration,-39.67,173.31,"4,326",9.4,DF,MSL,100000022148,oil/gas,"January 27, 1969","March 27, 1969",SHELL BP AND TODD OIL SERVICES LTD
"3,376.10",Warea Deep-1,exploration,-39.22,173.78,"4,326",21.9,RT,MSL,100000797830,gas shows,"April 29, 2001","June 21, 2001",DISCOVERY GEO(AUSTRALIA) CORPORATION
"3,375.00",Ngaere-1,appraisal,-39.36,174.37,"4,326",220.75,KB,MSL,100000159031,oil,"February 3, 1993","March 29, 1993",PETROLEUM CORPORATION OF NZ EXPL.  LTD
"3,370.00",Ahuroa South B-1,appraisal,-39.27,174.34,"4,326",201.8,KB,MSL,100000789604,dry,"October 5, 2005","November 7, 2005",SWIFT ENERGY NEW ZEALAND LTD
"3,366.00",Ruru-1A,exploration,-39.66,173.46,"4,326",15,RT,MSL,100000712031,gas shows,"March 29, 2011","February 21, 2012",SHELL TODD OIL SERVICES LIMITED
"3,358.00",Maui B-6D,production,-39.65,173.32,"4,326",43.9,KB,MSL,100000762113,oil,"September 5, 2000","September 24, 2000",SHELL BP AND TODD OIL SERVICES LTD
"3,355.85",Waimamaku-2,exploration,-35.57,173.47,"4,326",156.76,KB,MSL,100000021892,shows,"October 24, 1971","February 16, 1972",NZ PETROLEUM EXPLORATION CO LTD
"3,350.00",Hu Road-1,exploration,-39.42,174.39,"4,326",252.37,KB,MSL,100000123615,water,"April 12, 1991","May 21, 1991",PETROLEUM RESOURCES LTD (NZOG)
"3,350.00",Maui A-7(B),production,-39.55,173.45,"4,326",42.4,KB,MSL,100000022126,gas/condensate,"September 11, 1978","January 18, 1979",SHELL BP AND TODD OIL SERVICES LTD
"3,339.00",Maui A-6(E),production,-39.55,173.45,"4,326",42.4,KB,MSL,100000022129,gas/condensate,"July 1, 1978","March 5, 1979",SHELL BP AND TODD OIL SERVICES LTD
"3,335.00",Maui A-5(C),production,-39.55,173.45,"4,326",42.4,KB,MSL,100000022130,gas/condensate,"June 29, 1978","December 19, 1978",SHELL BP AND TODD OIL SERVICES LTD
"3,329.90",Midhurst-1,exploration,-39.29,174.25,"4,326",353.88,DF,MSL,100000113258,dry,"June 13, 1940","February 14, 1942",NZ PETROLEUM EXPLORATION CO LTD
"3,326.00",Ahuroa-1,exploration,-39.27,174.35,"4,326",212,KB,MSL,100000113346,oil,"August 23, 1986","September 25, 1986",PETROLEUM CORPORATION OF NZ EXPL.  LTD
"3,324.00",MB-07D,production,-39.65,173.32,"4,326",39.4,DF,MSL,100000762217,dry,"December 8, 2011","March 7, 2012",SHELL TODD OIL SERVICES LIMITED
"3,317.00",Pateke-3H,production,-39.38,173.21,"4,326",19.46,RT,MSL,100000787754,oil,"December 15, 2006","May 29, 2007",AUSTRALIAN WORLDWIDE EXPLORATION
"3,314.00",Kauri-E12A,production,-39.69,174.39,"4,326",44.5,KB,MSL,100000577728,dry,"April 27, 2006","June 18, 2006",SWIFT ENERGY NEW ZEALAND LTD
"3,305.00",Maui A-12(L),production,-39.55,173.45,"4,326",42.4,KB,MSL,100000022128,gas/condensate,"November 6, 1978","December 2, 1978",SHELL BP AND TODD OIL SERVICES LTD
"3,305.00",Kauri-E9,production,-39.69,174.39,"4,326",44.47,RT,MSL,100000536838,shows,"February 23, 2005","March 18, 2005",SWIFT ENERGY NEW ZEALAND LTD
"3,302.00",Maui A-11(K),production,-39.55,173.45,"4,326",42.4,KB,MSL,100000022127,gas/condensate,"October 30, 1978","January 3, 1979",SHELL BP AND TODD OIL SERVICES LTD
"3,302.00",Toko-2,production,-39.32,174.35,"4,326",231,KB,MSL,100000174156,shows,"April 4, 1994","April 30, 1994",PETROLEUM CORPORATION OF NZ EXPL.  LTD
"3,298.00",Tua Tua-1,exploration,-37.88,174.1,"4,326",26.8,KB,MSL,100000113527,dry,"April 29, 1988","June 14, 1988",AMOCO NZ EXPLORATION CO LTD
"3,298.00",Hochstetter-1,exploration,-39.66,172.61,"4,326",22,KB,MSL,100000352857,shows,"February 9, 2000","February 28, 2000",NEW ZEALAND OIL AND GAS LTD (NZOG)
"3,289.00",Kauri-E6,appraisal,-39.69,174.39,"4,326",44.93,RT,MSL,100000516271,gas,"August 7, 2004","September 6, 2004",SWIFT ENERGY NEW ZEALAND LTD
"3,274.00",MB-07E,production,-39.65,173.32,"4,326",39.4,DF,MSL,100000762218,dry,"December 30, 2011","March 7, 2012",SHELL TODD OIL SERVICES LIMITED
"3,270.00",Happy Valley-1C,exploration,-46.02,167.49,"4,326",146.67,KB,MSL,100000113198,dry,"February 11, 1987","February 28, 1987",PETROLEUM CORPORATION OF NZ EXPL.  LTD
"3,264.00",Burgess-1,exploration,-39.27,173.79,"4,326",52.5,KB,MSL,100000113294,dry,"August 23, 1989","September 28, 1989",NEW ZEALAND OIL AND GAS LTD (NZOG)
"3,259.00",Ngaere-3,production,-39.33,174.36,"4,326",262,KB,MSL,100000171814,oil,"February 14, 1994","March 18, 1994",PETROLEUM CORPORATION OF NZ EXPL.  LTD
"3,255.00",Awatea-1,exploration,-38.17,174.03,"4,326",29,RT,MSL,100000221732,water,"September 24, 1996","October 25, 1996",FLETCHER CHALLENGE ENERGY TARANAKI
"3,254.50",Kauri-E3,appraisal,-39.69,174.39,"4,326",44.5,RT,MSL,100000497698,gas shows,"December 4, 2003","December 31, 2003",SWIFT ENERGY NEW ZEALAND LTD
"3,250.00",Kupe South-2,appraisal,-39.84,174.11,"4,326",33.8,KB,MSL,100000113523,oil/gas,"April 7, 1987","June 5, 1987",TCPL RESOURCES LTD
"3,244.00",Waihapa-6,exploration,-39.38,174.36,"4,326",228.4,KB,MSL,100000113345,unknown,"August 17, 1989","November 18, 1989",PETROLEUM CORPORATION OF NZ EXPL.  LTD
"3,244.00",Waihapa-5,production,-39.4,174.37,"4,326",250,KB,MSL,100000113205,oil,"March 5, 1989","May 4, 1989",PETROLEUM CORPORATION OF NZ EXPL.  LTD
"3,236.00",Waihapa-2,production,-39.39,174.37,"4,326",238.76,KB,MSL,100000113335,oil,"August 4, 1988","October 12, 1988",PETROLEUM CORPORATION OF NZ EXPL.  LTD
"3,233.00",Kokiri-1,exploration,-42.48,171.38,"4,326",52.6,KB,MSL,100000113177,dry,"May 9, 1980","July 16, 1980",PETROLEUM CORPORATION OF NZ EXPL.  LTD
"3,233.00",Rotokare-1,exploration,-39.41,174.4,"4,326",238.2,KB,MSL,100000113206,dry,"December 21, 1988","February 23, 1989",NEW ZEALAND OIL AND GAS LTD (NZOG)
"3,231.50",Kauri-E11,production,-39.69,174.39,"4,326",44.5,RT,MSL,100000566834,oil/gas,"February 4, 2006","March 12, 2006",SWIFT ENERGY NEW ZEALAND LTD
"3,230.30",Hukarere-1,exploration,-39.47,176.92,"4,326",5.5,RT,MSL,100000389624,water,"October 11, 2001","November 24, 2001",WESTECH ENERGY NEW ZEALAND LTD
"3,228.00",Maui-6,appraisal,-39.53,173.41,"4,326",26.8,KB,MSL,100000113531,gas shows,"July 6, 1986","August 10, 1986",SHELL BP AND TODD OIL SERVICES LTD
"3,228.00",Huinga-1A,exploration,-39.35,174.42,"4,326",186.41,RT,MSL,100000315457,dry,"April 1, 1999","May 30, 1999",MARABELLA ENTERPRISES LTD
"3,227.00",Maui-5,appraisal,-39.62,173.38,"4,326",26.8,DF,MSL,100000113532,shows,"May 13, 1986","June 15, 1986",SHELL BP AND TODD OIL SERVICES LTD
"3,224.00",Ngaere-2,production,-39.34,174.37,"4,326",228.42,KB,MSL,100000166117,oil,"September 6, 1993","October 24, 1993",PETROLEUM CORPORATION OF NZ EXPL.  LTD
"3,220.00",Mauku-1,exploration,-38.4,174.65,"4,326",13.7,RT,MSL,100000759744,oil shows,"January 8, 2013","April 24, 2013",KEA EXPLORATION LTD
"3,220.00",Oakura-1,exploration,-39.14,173.92,"4,326",75.4,RT,MSL,100000296020,dry,"October 16, 1998","November 13, 1998",SANTOS ASIA PACIFIC PTY LTD
"3,213.00",Toko-2A,production,-39.32,174.35,"4,326",231,KB,MSL,100000182296,shows,"October 13, 1994","October 30, 1994",PETROLEUM CORPORATION OF NZ EXPL.  LTD
"3,211.00",MR1P7,production,-39.99,173.29,"4,326",46.9,RT,MSL,100000692224,dry,"December 12, 2008","June 8, 2009",OMV NEW ZEALAND LIMITED
"3,209.00",Tariki North-1A,appraisal,-39.19,174.38,"4,326",120.92,KB,MSL,100000113341,gas shows,"May 27, 1987","June 24, 1987",PETROLEUM CORPORATION OF NZ EXPL.  LTD
"3,204.00",Maui B-7,production,-39.65,173.32,"4,326",43.9,KB,MSL,100000341925,dry,"November 8, 1999","June 6, 2000",SHELL TODD OIL SERVICES LIMITED
"3,200.00",Kupe South-5,appraisal,-39.91,174.15,"4,326",31.3,KB,MSL,100000113518,oil,"September 20, 1990","October 31, 1990",TCPL RESOURCES LTD
"3,200.00",Waihapa-4,production,-39.36,174.37,"4,326",225.7,KB,MSL,100000113339,oil,"December 14, 1988","February 14, 1989",PETROLEUM CORPORATION OF NZ EXPL.  LTD
"3,198.00",Kauri-E10A,appraisal,-39.69,174.39,"4,326",44.46,RT,MSL,100000787674,dry,"May 15, 2005","June 1, 2005",SWIFT ENERGY NEW ZEALAND LTD
"3,192.00",Maui A-4(D),production,-39.55,173.45,"4,326",42.4,KB,MSL,100000022131,gas/condensate,"May 11, 1978","June 15, 1978",SHELL BP AND TODD OIL SERVICES LTD
"3,191.00",Tariki-1,exploration,-39.22,174.35,"4,326",212,KB,MSL,100000113350,dry,"March 2, 1986","April 11, 1986",PETROLEUM CORPORATION OF NZ EXPL.  LTD
"3,167.00",Copper Moki-3,exploration,-39.39,174.34,"4,326",222.95,RT,MSL,100000747191,oil/gas,"February 18, 2012","March 20, 2012",TARANAKI VENTURES LTD
"3,161.50",Kauri-E4A ST2,appraisal,-39.69,174.39,"4,326",44.5,RT,MSL,100000787528,oil/gas,"April 5, 2004","April 7, 2004",SWIFT ENERGY NEW ZEALAND LTD
"3,155.90",Kauri-E4,appraisal,-39.69,174.39,"4,326",44.5,RT,MSL,100000502078,shows,"January 18, 2004","March 1, 2004",SWIFT ENERGY NEW ZEALAND LTD
"3,155.00",Maui A-1(G),production,-39.55,173.45,"4,326",42.4,DF,MSL,100000022134,gas/condensate,"February 2, 1978","April 9, 1978",SHELL BP AND TODD OIL SERVICES LTD
"3,153.00",Ahuroa-1A,exploration,-39.27,174.35,"4,326",212,KB,MSL,100000113347,dry,"October 4, 1986","October 15, 1986",PETROLEUM CORPORATION OF NZ EXPL.  LTD
"3,147.00",Kauri-E4A ST1,appraisal,-39.69,174.39,"4,326",44.5,RT,MSL,100000787527,shows,"March 6, 2004","March 30, 2004",SWIFT ENERGY NEW ZEALAND LTD
"3,145.00",Momoho-1,exploration,-39.9,174.14,"4,326",39.2,RT,MSL,100000627101,gas/condensate,"June 13, 2008","August 7, 2008",ORIGIN ENERGY RESOURCES LTD
"3,140.00",Te Popo-1,appraisal,-39.3,174.36,"4,326",261.5,KB,MSL,100000375473,unknown,"May 5, 2001","June 10, 2001",FLETCHER CHALLENGE ENERGY TARANAKI
"3,139.00",Maui-7,production,-39.64,173.32,"4,326",26.8,DF,MSL,100000113536,shows,"August 16, 1986","November 15, 1986",SHELL BP AND TODD OIL SERVICES LTD
"3,138.00",Pukearuhe-1,exploration,-38.89,174.51,"4,326",40.07,KB,MSL,100000113284,dry,"July 10, 1986","September 5, 1986",NEW ZEALAND OIL AND GAS LTD (NZOG)
"3,135.00",Kea-1,exploration,-39.87,173.34,"4,326",22,KB,MSL,100000113533,dry,"December 15, 1984","January 16, 1985",TRICENTROL EXPLORATION OVERSEAS LTD
"3,131.00",Waihapa H-1,production,-39.36,174.36,"4,326",221.7,RT,MSL,100000574856,oil,"June 26, 2006","August 28, 2006",SWIFT ENERGY NEW ZEALAND LTD
"3,131.00",Bounty-1,exploration,-41.86,172.4,"4,326",271,KB,MSL,100000021895,shows,"June 23, 1970","October 29, 1970",BOUNTY OIL CO LTD
"3,120.00",Hu Road-1A,exploration,-39.42,174.39,"4,326",252.37,KB,MSL,100000123616,dry,"July 6, 1991","July 20, 1991",PETROLEUM RESOURCES LTD (NZOG)
"3,106.50",Kauri-E2,appraisal,-39.69,174.39,"4,326",43.57,RT,MSL,100000489354,shows,"July 9, 2003","August 6, 2003",SWIFT ENERGY NEW ZEALAND LTD
"3,106.00",MR2P1-LL,production,-39.99,173.29,"4,326",46.94,RT,MSL,100000790935,oil,"July 8, 2009","July 14, 2009",OMV NEW ZEALAND LIMITED
"3,100.00",Kauri-E1,appraisal,-39.69,174.39,"4,326",43.3,RT,MSL,100000482532,gas shows,"May 29, 2003","June 23, 2003",SWIFT ENERGY NEW ZEALAND LTD
"3,100.00",MB-Z(11),production,-39.65,173.32,"4,326",39.42,RT,MSL,100000502183,gas,"October 22, 1992","November 21, 1992",SHELL TODD OIL SERVICES LIMITED
"3,100.00",Pukatea-1,exploration,-39.4,174.4,"4,326",214.5,DF,MSL,100000836738,oil,"January 24, 2018","March 4, 2018",TAG OIL LTD
"3,087.00",Waihapa-6A,production,-39.38,174.36,"4,326",228.4,KB,MSL,100000113344,oil,"October 9, 1989","November 18, 1989",PETROLEUM CORPORATION OF NZ EXPL.  LTD
"3,086.00",Galleon-1,exploration,-45.49,171.16,"4,326",26.85,DF,MSL,100000113550,gas/condensate,"September 15, 1985","November 19, 1985",SHELL BP TODD CANTERBURY SERVICES LTD
"3,085.00",Ahuroa South B-1 ST1,appraisal,-39.27,174.34,"4,326",201.8,KB,MSL,100000789614,dry,"November 11, 2005","November 28, 2005",SWIFT ENERGY NEW ZEALAND LTD
"3,076.00",Gladstone-1,exploration,-38.79,173.56,"4,326",26.05,RT,MSL,100000857256,dry,"November 30, 2019","December 16, 2019",OMV NEW ZEALAND LIMITED
"3,065.00",Rahotu-1,exploration,-39.28,173.9,"4,326",240.2,RT,MSL,100000489495,shows,"August 22, 2003","September 22, 2003",DISCOVERY GEO(AUSTRALIA) CORPORATION
"3,055.00",Arawa-1,exploration,-38.8,173.71,"4,326",17,KB,MSL,100000127959,gas shows,"December 8, 1991","January 1, 1992",ARCO PETROLEUM NZ INC
"3,053.00",Maui A-13(O),production,-39.55,173.45,"4,326",42.4,KB,MSL,100000022122,gas/condensate,"March 16, 1979","April 23, 1979",SHELL BP AND TODD OIL SERVICES LTD
"3,052.00",Maui A-14(H),production,-39.55,173.45,"4,326",42.4,KB,MSL,100000022121,gas/condensate,"March 24, 1979","April 11, 1979",SHELL BP AND TODD OIL SERVICES LTD
"3,050.00",Rimu-1,exploration,-39.11,174.32,"4,326",161.9,KB,MSL,100000113255,dry,"August 22, 1981","October 3, 1981",PETROLEUM CORPORATION OF NZ EXPL.  LTD
"3,048.00",MR9P6,production,-39.99,173.29,"4,326",46.94,RT,MSL,100000668091,oil,"December 4, 2008","September 24, 2009",OMV NEW ZEALAND LIMITED
"3,035.00",Kahili-1,exploration,-39.18,174.37,"4,326",214.68,RT,MSL,100000391110,dry,"December 12, 2001","January 28, 2002",INDO-PACIFIC ENERGY LTD
"3,033.00",Waihi-1,exploration,-38.66,174.49,"4,326",11,KB,MSL,100000158213,shows,"December 29, 1992","February 8, 1993",ARCO PETROLEUM NZ INC
"3,031.00",Opito-1,exploration,-38.48,174.64,"4,326",8.55,KB,MSL,100000431794,dry,"April 29, 2002","July 13, 2002",NEW ZEALAND OIL AND GAS LTD (NZOG)
"3,028.00",Kahili-1B,exploration,-39.18,174.37,"4,326",214.2,RT,MSL,100000764457,gas/condensate,"October 28, 2002","November 9, 2002",INDO-PACIFIC ENERGY LTD
"3,022.00",Tariki-2A,appraisal,-39.2,174.37,"4,326",241.05,KB,MSL,100000113352,dry,"February 12, 1987","March 10, 1987",PETROLEUM CORPORATION OF NZ EXPL.  LTD
"3,020.00",Maui A-9(M),production,-39.55,173.45,"4,326",42.4,KB,MSL,100000022123,gas/condensate,"October 15, 1978","March 15, 1979",SHELL BP AND TODD OIL SERVICES LTD
"3,020.00",Tariki-2,appraisal,-39.2,174.37,"4,326",241.05,KB,MSL,100000113353,dry,"January 9, 1987","February 4, 1987",PETROLEUM CORPORATION OF NZ EXPL.  LTD
"3,014.00",Tipoka-1,exploration,-39.32,173.77,"4,326",26.47,KB,MSL,100000113296,dry,"June 19, 1986","July 28, 1986",PETROLEUM CORPORATION OF NZ EXPL.  LTD
"3,011.00",Piakau North-A1 ST1,appraisal,-39.3,174.34,"4,326",275.92,RT,MSL,100000787552,gas,"July 18, 2005","August 6, 2005",SWIFT ENERGY NEW ZEALAND LTD
"2,986.00",Tariki-4A,exploration,-39.22,174.35,"4,326",214.87,KB,MSL,100000186760,gas,"January 9, 1995","March 10, 1995",PETROLEUM CORPORATION OF NZ EXPL.  LTD
"2,980.50",Tawhaki-1,exploration,-46.94,171.64,"4,326",26.05,RT,MSL,100000857388,dry,"January 7, 2020","February 29, 2020",OMV NEW ZEALAND LIMITED
"2,979.00",MB-N(5),production,-39.65,173.32,"4,326",39.41,RT,MSL,100000502167,oil,"September 28, 1993","January 5, 1994",SHELL TODD OIL SERVICES LIMITED
"2,974.00",MB-11A,production,-39.65,173.32,"4,326",48.57,WBHR,MSL,100000712767,shows,"January 17, 2010","February 4, 2010",SHELL TODD OIL SERVICES LIMITED
"2,966.00",MR6P2 BR1,production,-39.99,173.29,"4,326",46.9,RT,MSL,100000790938,unknown,"May 18, 2009","May 27, 2009",OMV NEW ZEALAND LIMITED
"2,965.00",Piakau North-A1,appraisal,-39.3,174.34,"4,326",275.92,RT,MSL,100000543787,oil,"June 13, 2005","August 6, 2005",SWIFT ENERGY NEW ZEALAND LTD
"2,962.00",Kahili-1A,exploration,-39.18,174.37,"4,326",214.2,RT,MSL,100000445613,dry,"October 7, 2002","October 25, 2002",INDO-PACIFIC ENERGY LTD
"2,960.00",Kauri-E7,production,-39.69,174.39,"4,326",44.46,RT,MSL,100000533268,oil/gas,"November 26, 2004","December 17, 2005",SWIFT ENERGY NEW ZEALAND LTD
"2,955.00",Douglas-1,exploration,-39.36,174.4,"4,326",204.21,RT,MSL,100000749551,oil shows,"April 22, 2012","May 18, 2012",KEA EXPLORATION LTD
"2,942.00",Maui South-1,exploration,-39.62,173.46,"4,326",27.4,RT,MSL,100000300524,shows,"December 27, 1998","February 2, 1999",SHELL BP AND TODD OIL SERVICES LTD
"2,940.00",Makara-1,exploration,-39.13,174.32,"4,326",146.4,KB,MSL,100000113380,gas shows,"October 7, 1984","November 7, 1984",PETROLEUM CORPORATION OF NZ EXPL.  LTD
"2,939.00",Huinga-1,exploration,-39.35,174.42,"4,326",186.41,KB,MSL,100000313433,gas shows,"April 1, 1999","May 1, 1999",MARABELLA ENTERPRISES LTD
"2,930.00",Cutter-1,exploration,-45.1,171.36,"4,326",21.5,RT,MSL,100000577944,gas shows,"October 9, 2006","November 12, 2006",TAP OIL LIMITED
"2,927.00",Tuhua-6,production,-39.06,174.35,"4,326",180.7,KB,MSL,100000174060,oil,"March 30, 1994","July 18, 1994",PETROLEUM CORPORATION OF NZ EXPL.  LTD
"2,905.00",Piakau-1,exploration,-39.3,174.34,"4,326",276.7,KB,MSL,100000113358,shows,"October 21, 1986","November 17, 1986",PETROLEUM CORPORATION OF NZ EXPL.  LTD
"2,902.50",MR6AP2-PH,production,-39.99,173.29,"4,326",46.94,RT,MSL,100000796489,unknown,"June 12, 2014","March 18, 2015",OMV NEW ZEALAND LIMITED
"2,900.94",Warea-1,exploration,-39.22,173.78,"4,326",16.4,KB,MSL,100000369145,dry,"November 5, 2000","December 20, 2000",DISCOVERY GEO(AUSTRALIA) CORPORATION
"2,900.00",Cheal-B4,exploration,-39.38,174.31,"4,326",257.3,RT,MSL,100000591506,gas shows,"December 4, 2006","December 18, 2006",AUSTRAL-PACIFIC ENERGY (NZ) LTD
"2,900.00",Awakino-1,exploration,-38.56,174.57,"4,326",22,KB,MSL,100000113517,oil/gas,"February 22, 1985","April 24, 1985",PETROLEUM CORPORATION OF NZ EXPL. LTD
"2,900.00",Arakamu-1A,exploration,-39.43,174.34,"4,326",223.8,RT,MSL,100000759025,oil,"December 21, 2012","January 11, 2013",TARANAKI VENTURES LTD
"2,896.89",MA-09A,production,-39.55,173.45,"4,326",46.35,DF,MSL,100000790955,gas shows,"September 16, 2013","March 20, 2014",SHELL TODD OIL SERVICES LIMITED
"2,891.00",Manaia-2A,appraisal,-40.03,173.24,"4,326",25.9,RT,MSL,100000771088,gas shows,"October 28, 2013","November 24, 2013",OMV NEW ZEALAND LIMITED
"2,879.00",Kanuka-1,exploration,-38.65,173.62,"4,326",23,RT,MSL,100000616746,dry,"October 23, 2007","November 7, 2007",POGO NEW ZEALAND
"2,871.00",Devon-1,exploration,-39.07,174.05,"4,326",22.37,DF,MSL,100000113273,gas shows,"April 20, 1942","March 1, 1943",NZ PETROLEUM EXPLORATION CO LTD
"2,864.00",Tariki-2C,appraisal,-39.2,174.37,"4,326",238.9,RT,MSL,100000285602,oil shows,"April 7, 1998","May 10, 1998",FLETCHER CHALLENGE ENERGY TARANAKI
"2,853.00",Tua Tua-1A,exploration,-37.88,174.1,"4,326",26.8,KB,MSL,100000787741,dry,"June 18, 1988","June 24, 1988",AMOCO NZ EXPLORATION CO LTD
"2,848.00",Cheal-1,exploration,-39.39,174.3,"4,326",269.8,KB,MSL,100000199664,oil/gas,"August 12, 1995","September 17, 1995",NEW ZEALAND OIL AND GAS LTD (NZOG)
"2,847.00",Kupe South-3,appraisal,-39.85,174.13,"4,326",32.6,KB,MSL,100000113521,dry,"December 8, 1987","December 29, 1987",TCPL RESOURCES LTD
"2,833.00",Kupe South-3A,exploration,-39.85,174.13,"4,326",32.6,KB,MSL,100000113520,dry,"December 29, 1987","January 7, 1988",TCPL RESOURCES LTD
"2,824.00",Whio-1,exploration,-40.02,173.33,"4,326",23.94,RT,MSL,100000789129,shows,"July 23, 2014","August 31, 2014",OMV NEW ZEALAND LIMITED
"2,817.00",Cape Farewell-1,exploration,-40.5,172.7,"4,326",30.1,KB,MSL,100000113548,oil shows,"November 29, 1985","March 22, 1986",WHITESTONE NZ LTD
"2,816.00",Waihapa-3,production,-39.39,174.37,"4,326",238.9,KB,MSL,100000113207,shows,"October 17, 1988","November 28, 1988",PETROLEUM CORPORATION OF NZ EXPL.  LTD
"2,808.00",MR6P2,production,-39.99,173.29,"4,326",46.94,RT,MSL,100000692225,water,"April 9, 2009","May 17, 2009",OMV NEW ZEALAND LIMITED
"2,787.00",MR4P9BR1,production,-39.99,173.29,"4,326",46.9,RT,MSL,100000787770,unknown,"December 12, 2008","February 11, 2009",OMV NEW ZEALAND LIMITED
"2,778.00",Tipoka-2,exploration,-39.32,173.76,"4,326",13.95,KB,MSL,100000167349,shows,"October 15, 1993","November 15, 1993",NEW ZEALAND OIL AND GAS LTD (NZOG)
"2,777.00",Tariki-4,appraisal,-39.22,174.35,"4,326",214.87,KB,MSL,100000787724,oil/gas,"January 9, 1995","February 13, 1995",PETROLEUM CORPORATION OF NZ EXPL.  LTD
"2,764.00",Tariki-1A,exploration,-39.22,174.35,"4,326",212,KB,MSL,100000113349,gas/condensate,"May 6, 1986","June 9, 1986",PETROLEUM CORPORATION OF NZ EXPL.  LTD
"2,764.00",Tuhua-4,production,-39.08,174.35,"4,326",191,KB,MSL,100000113624,oil,"December 28, 1989","February 7, 1990",PETROLEUM CORPORATION OF NZ EXPL.  LTD
"2,741.00",Endeavour-1,exploration,-45.24,171.13,"4,326",34.4,DF,MSL,100000022153,water,"October 24, 1970","November 24, 1970",BP SHELL AQUITAINE TODD PD LTD
"2,740.10",Ruakituri-1,exploration,-38.81,177.48,"4,326",101,KB,MSL,100000022164,dry,"July 14, 1961","January 1, 1962",NZ AQUITAINE PETROLEUM LTD
"2,740.00",Titihaoa-1,exploration,-40.8,176.43,"4,326",13.1,KB,MSL,100000183292,gas shows,"November 11, 1994","December 29, 1994",AMOCO NZ EXPLORATION CO LTD
"2,728.00",McKee-12,production,-39.1,174.33,"4,326",136,KB,MSL,100000113625,oil,"November 21, 1989","December 27, 1989",PETROLEUM CORPORATION OF NZ EXPL.  LTD
"2,727.00",North Tasman-1,exploration,-40.2,173.27,"4,326",31.5,KB,MSL,100000113529,dry,"October 26, 1978","December 1, 1978",NZ AQUITAINE PETROLEUM LTD
"2,722.00",Kupara-1A,production,-39.22,174.35,"4,326",212,RT,MSL,100000279084,gas,"January 22, 1998","February 16, 1998",FLETCHER CHALLENGE ENERGY TARANAKI
"2,720.00",Pluto-1,exploration,-38.71,174.53,"4,326",33,DF,MSL,100000123618,shows,"December 29, 1990","January 28, 1991",SHELL TODD OIL SERVICES LIMITED
"2,720.00",Korito-1,exploration,-39.19,174.09,"4,326",357.3,DF,MSL,100000545638,shows,"September 7, 2005","September 25, 2005",GREYMOUTH PETROLEUM LTD
"2,710.00",Stent-1,exploration,-39.22,173.78,"4,326",16.1,KB,MSL,100000517273,dry,"August 15, 2004","September 5, 2004",DISCOVERY GEO(AUSTRALIA) CORPORATION
"2,707.00",Waihapa-4 ST1,exploration,-39.36,174.37,"4,326",224,RT,MSL,100000577730,oil,"August 1, 2006","August 16, 2006",SWIFT ENERGY NEW ZEALAND LTD
"2,707.00",Kaimiro-5 ST1,exploration,-39.17,174.15,"4,326",268.91,KB,MSL,100000787671,shows,"December 11, 2007","May 20, 2008",GREYMOUTH PETROLEUM LTD
"2,705.00",McKee-14,appraisal,-39.09,174.33,"4,326",128.9,KB,MSL,100000190730,water,"February 5, 1995","March 8, 1995",PETROLEUM CORPORATION OF NZ EXPL.  LTD
"2,692.00",Ahuroa-5 ST1,production,-39.27,174.34,"4,326",201.15,RT,MSL,100000698957,oil/gas,"February 18, 2010","March 9, 2010",ORIGIN ENERGY RESOURCES LTD
"2,692.00",Caravel-1,exploration,-45.64,171.5,"4,326",25,RT,MSL,100000773902,gas shows,"February 11, 2014","March 22, 2014",ANADARKO NZ TARANAKI CO
"2,672.00",Tuhua-3,production,-39.07,174.36,"4,326",161.7,KB,MSL,100000787730,dry,"July 15, 1988","August 3, 1988",PETROLEUM CORPORATION OF NZ EXPL.  LTD
"2,671.00",Tuhua-7,production,-39.06,174.35,"4,326",180.7,KB,MSL,100000180127,oil,"July 21, 1994","August 12, 1994",PETROLEUM CORPORATION OF NZ EXPL.  LTD
"2,660.50",Kahili-1C,appraisal,-39.18,174.37,"4,326",214.2,DF,MSL,100000763481,gas shows,"April 21, 2013","May 13, 2013",L & M PETROLEUM LTD
"2,648.00",Ahuroa-2A,appraisal,-39.27,174.34,"4,326",204.32,KB,MSL,100000113360,gas,"December 14, 1986","January 4, 1987",PETROLEUM CORPORATION OF NZ EXPL.  LTD
